cidr,vpn
37.187.103.0/24,Astrill
45.134.140.0/24,Astrill
46.166.188.0/24,Astrill
185.75.56.0/24,Astrill
149.102.234.0/24,AtlasVPN
193.148.16.0/24,AtlasVPN
194.127.167.0/24,AtlasVPN
178.162.203.0/24,AvastVPN
185.94.192.0/24,AvastVPN
194.126.177.0/24,AvastVPN
82.146.60.0/24,CactusVPN
195.181.170.0/24,CactusVPN
5.180.62.0/24,CyberGhost
5.253.204.0/24,CyberGhost
87.247.186.0/24,CyberGhost
146.70.90.0/24,CyberGhost
185.212.170.0/24,CyberGhost
185.57.80.0/22,ExpressVPN
192.153.56.0/24,ExpressVPN
217.138.193.0/24,ExpressVPN
217.138.200.0/24,ExpressVPN
217.138.204.0/24,ExpressVPN
46.183.221.0/24,FastVPN
185.49.104.0/24,FastVPN
185.233.104.0/24,FreedomeVPN
185.233.105.0/24,FreedomeVPN
185.234.216.0/24,GooseVPN
185.234.217.0/24,GooseVPN
83.143.116.0/24,Hide.me
213.152.161.0/24,Hide.me
213.152.162.0/24,Hide.me
185.10.68.0/24,Hidester
185.229.58.0/24,Hidester
5.34.180.0/24,HMA
46.235.224.0/24,HMA
87.118.116.0/24,HMA
185.230.124.0/24,HMA
23.105.168.0/22,HotspotShield
107.152.64.0/19,HotspotShield
107.152.96.0/20,HotspotShield
64.127.56.0/22,IPVanish
64.235.48.0/22,IPVanish
96.44.167.0/24,IPVanish
104.129.24.0/24,IPVanish
198.7.56.0/22,IPVanish
81.181.181.0/24,IVPN
193.187.149.0/24,IVPN
23.144.160.67/32,Mullvad
23.144.160.86/32,Mullvad
23.144.160.106/32,Mullvad
23.159.216.3/32,Mullvad
23.159.216.127/32,Mullvad
23.160.24.3/32,Mullvad
23.160.24.127/32,Mullvad
23.162.8.3/32,Mullvad
23.162.40.3/32,Mullvad
23.162.40.127/32,Mullvad
23.168.216.3/32,Mullvad
23.168.216.127/32,Mullvad
23.234.68.2/32,Mullvad
23.234.68.127/32,Mullvad
23.234.69.2/32,Mullvad
23.234.69.127/32,Mullvad
23.234.70.2/32,Mullvad
23.234.70.127/32,Mullvad
23.234.71.2/32,Mullvad
23.234.71.127/32,Mullvad
23.234.72.2/32,Mullvad
23.234.72.127/32,Mullvad
23.234.73.2/32,Mullvad
23.234.73.127/32,Mullvad
23.234.74.2/32,Mullvad
23.234.74.127/32,Mullvad
23.234.75.2/32,Mullvad
23.234.75.127/32,Mullvad
23.234.76.2/32,Mullvad
23.234.76.127/32,Mullvad
23.234.77.2/32,Mullvad
23.234.77.127/32,Mullvad
23.234.78.2/32,Mullvad
23.234.78.127/32,Mullvad
23.234.79.2/32,Mullvad
23.234.79.127/32,Mullvad
23.234.80.2/32,Mullvad
23.234.80.127/32,Mullvad
23.234.81.2/32,Mullvad
23.234.81.127/32,Mullvad
23.234.82.2/32,Mullvad
23.234.82.127/32,Mullvad
23.234.83.2/32,Mullvad
23.234.83.127/32,Mullvad
23.234.84.2/32,Mullvad
23.234.84.127/32,Mullvad
23.234.85.2/32,Mullvad
23.234.85.127/32,Mullvad
23.234.86.2/32,Mullvad
23.234.86.127/32,Mullvad
23.234.87.2/32,Mullvad
23.234.88.3/32,Mullvad
23.234.88.127/32,Mullvad
23.234.89.3/32,Mullvad
23.234.89.127/32,Mullvad
23.234.90.3/32,Mullvad
23.234.90.127/32,Mullvad
23.234.91.3/32,Mullvad
23.234.91.127/32,Mullvad
23.234.92.3/32,Mullvad
23.234.92.127/32,Mullvad
23.234.93.3/32,Mullvad
23.234.93.127/32,Mullvad
23.234.94.3/32,Mullvad
23.234.94.127/32,Mullvad
23.234.95.3/32,Mullvad
23.234.95.127/32,Mullvad
23.234.96.2/32,Mullvad
23.234.96.127/32,Mullvad
23.234.97.2/32,Mullvad
23.234.97.127/32,Mullvad
23.234.98.2/32,Mullvad
23.234.98.127/32,Mullvad
23.234.99.2/32,Mullvad
23.234.99.127/32,Mullvad
23.234.100.3/32,Mullvad
23.234.100.127/32,Mullvad
23.234.101.3/32,Mullvad
23.234.101.127/32,Mullvad
23.234.102.3/32,Mullvad
23.234.102.127/32,Mullvad
23.234.103.3/32,Mullvad
23.234.103.127/32,Mullvad
23.234.104.2/32,Mullvad
23.234.104.127/32,Mullvad
23.234.105.2/32,Mullvad
23.234.105.127/32,Mullvad
23.234.106.2/32,Mullvad
23.234.106.127/32,Mullvad
23.234.107.2/32,Mullvad
23.234.107.127/32,Mullvad
23.234.108.3/32,Mullvad
23.234.108.127/32,Mullvad
23.234.109.3/32,Mullvad
23.234.109.127/32,Mullvad
23.234.110.3/32,Mullvad
23.234.110.127/32,Mullvad
23.234.111.3/32,Mullvad
23.234.111.127/32,Mullvad
23.234.112.3/32,Mullvad
23.234.112.127/32,Mullvad
23.234.113.3/32,Mullvad
23.234.113.127/32,Mullvad
23.234.114.3/32,Mullvad
23.234.114.127/32,Mullvad
23.234.115.3/32,Mullvad
23.234.115.127/32,Mullvad
23.234.116.3/32,Mullvad
23.234.116.127/32,Mullvad
23.234.117.3/32,Mullvad
23.234.117.127/32,Mullvad
23.234.118.3/32,Mullvad
23.234.118.127/32,Mullvad
23.234.119.3/32,Mullvad
23.234.119.127/32,Mullvad
23.234.120.2/32,Mullvad
23.234.120.127/32,Mullvad
23.234.121.2/32,Mullvad
23.234.121.127/32,Mullvad
23.234.122.2/32,Mullvad
23.234.122.127/32,Mullvad
23.234.123.2/32,Mullvad
23.234.123.127/32,Mullvad
37.19.200.130/32,Mullvad
37.19.200.143/32,Mullvad
37.19.200.156/32,Mullvad
37.19.210.1/32,Mullvad
37.19.210.14/32,Mullvad
37.19.210.27/32,Mullvad
37.19.221.130/32,Mullvad
37.19.221.143/32,Mullvad
37.19.221.156/32,Mullvad
37.19.221.169/32,Mullvad
37.120.246.130/32,Mullvad
38.132.121.146/32,Mullvad
38.240.225.36/32,Mullvad
38.240.225.68/32,Mullvad
43.225.189.131/32,Mullvad
43.225.189.162/32,Mullvad
45.66.219.3/32,Mullvad
45.66.219.166/32,Mullvad
45.66.219.209/32,Mullvad
45.83.220.0/24,Mullvad
45.83.220.68/32,Mullvad
45.83.220.69/32,Mullvad
45.83.220.70/32,Mullvad
45.83.221.0/24,Mullvad
45.83.222.0/23,Mullvad
45.128.38.226/32,Mullvad
45.129.56.0/24,Mullvad
45.129.56.67/32,Mullvad
45.129.56.68/32,Mullvad
45.129.57.0/24,Mullvad
45.129.58.0/24,Mullvad
45.129.59.0/24,Mullvad
45.129.59.19/32,Mullvad
45.129.59.129/32,Mullvad
45.130.118.0/24,Mullvad
45.132.193.0/24,Mullvad
45.134.79.67/32,Mullvad
45.134.79.97/32,Mullvad
45.134.140.130/32,Mullvad
45.134.140.143/32,Mullvad
45.134.142.193/32,Mullvad
45.134.142.206/32,Mullvad
